1973,1990,2007
Charlottesville,VA,45,40434,40831,41228
Charlton,GA,9,6413,8511,10609
Chase,KS,15,3112,2997,2882
Chase,NE,26,5110,4404,3698
Chatham,GA,9,186593,217531,248469
Chatham,NC,32,16977,39216,61455
Chattahoochee,GA,9,24028,16729,9430
Chattooga,GA,9,17777,22287,26797
Chautauqua,KS,15,4962,4384,3806
Chautauqua,NY,31,150163,142054,133945
Chaves,NM,30,53471,58033,62595
Cheatham,TN,41,15508,27310,39112
Cheboygan,MI,21,16260,21514,26768
Chelan,WA,46,33959,52476,70993
Chemung,NY,31,102569,95292,88015
Chenango,NY,31,52419,51813,51207
Cherokee,AL,0,14726,19643,24560
Cherokee,GA,9,45661,91323,204363
Cherokee,IA,14,16528,14107,11686
Cherokee,KS,15,21295,21316,21337
Cherokee,NC,32,13953,20226,26499
Cherokee,OK,35,22947,34170,45393
Cherokee,SC,39,35299,44657,54015
Cherokee,TX,42,33969,41069,48169
Cherry,NE,26,6848,6283,5718
Chesapeake,VA,45,87516,153335,219154
Cheshire,NH,28,62785,70255,77725
Chester,PA,37,269319,377832,486345
Chester,SC,39,31877,32204,32531
Chester,TN,41,9548,12845,16142
Chesterfield,SC,39,34573,38667,42761
Chesterfield,VA,45,123765,211727,299689
Cheyenne,CO,5,3027,2395,1763
Cheyenne,KS,15,3651,3226,2801
Cheyenne,NE,26,9004,9488,9972
Chickasaw,IA,14,14361,13288,12215
Chickasaw,MS,23,17340,18157,18974
Chicot,AR,3,18955,15630,12305
Childress,TX,42,4360,5958,7556
Chilton,AL,0,22801,32550,42299
Chippewa,MI,21,30654,34788,38922
Chippewa,MN,22,13953,13209,12465
Chippewa,WI,48,44386,52394,60402
Chisago,MN,22,11242,30685,50128
Chittenden,VT,44,112460,132143,151826
Choctaw,AL,0,17815,15994,14173
Choctaw,MS,23,9140,9096,9052
Choctaw,OK,35,15623,15317,15011
Chouteau,MT,25,5682,5468,5254
Chowan,NC,32,12445,13540,14635
Christian,IL,12,34351,34447,34543
Christian,KY,16,56778,68823,80868
Christian,MO,24,16514,33029,73066
Churchill,NV,27,11187,18039,24891
Cibola,NM,30,20119,23690,27261
Cimarron,OK,35,3924,3294,2664
Citrus,FL,8,49121,94645,140169
Clackamas,OR,36,185473,280862,376251
Claiborne,LA,17,18425,17354,16283
Claiborne,MS,23,11769,11384,10999
Claiborne,TN,41,21094,26182,31270
Clallam,WA,46,42576,56525,70474
Clare,MI,21,19453,25075,30697
Clarendon,SC,39,24200,28511,32822
Clarion,PA,37,43378,41703,40028
Clark,AR,3,19295,21440,23585
Clark,ID,11,614,760,906
Clark,IL,12,14976,15930,16884
Clark,IN,13,70411,87723,105035
Clark,KS,15,2746,2420,2094
Clark,KY,16,23590,29570,35550
Clark,MO,24,7826,7523,7220
Clark,NV,27,378085,756170,1836333
Clark,OH,34,154715,147596,140477
Clark,SD,40,5304,4388,3472
Clark,WA,46,63696,240883,418070
Clark,WI,48,29804,31647,33490
